model,set,item_id,intermediate,lens,layer,top10
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,19," ..."" | ..."" | ."" | "" | ,"" | "", | "". |  "", | ?"" | !"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,20," ..."" | ..."" | ."" | "" | ,"" | "", | "". | !"" |  "", | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,21,"..."" |  ..."" | "" | ."" | ,"" | "", | "". | !"" |  "", | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,22," ..."" | ..."" | "" | ."" | "", | "". |  "", | ,"" |  "". | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,23," ..."" | ..."" | ."" | "" | "", | "". | ,"" | ?"" |  "", |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,24," ..."" | ..."" | ."" | "". |  "". | "", | "" |  "", | ,"" | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,25," ..."" | ..."" | ."" | "". | "", |  "". |  "", | ,"" | "" | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,26," ..."" | ..."" | ."" | "". | "", | ,"" |  ... |  "". |  "", | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,27," ..."" | ..."" | ."" | "". | "", | ?"" | ,"" |  ."" | ..."", | !"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,28,"."" |  opposites | ..."" |  ..."" | "". |  ____ | "", |  _____ |  opposite |  ________"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,29,"."" | "". | ..."" | "", |  ____ |  ..."" |  _____ | � |  ... | ,"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,30," ____ |  ________ |  _____ |  ______ | ..."" |  _______ | ."" |  anton |  __________ |  opposites"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,31," ____ |  _____ |  ________ |  _______ |  ______ |  opposites |  opposite | ..."" | ."" | "","
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,32, ____ |  _____ |  _______ |  ________ |  ______ |  __________ |  ___ |  anton |  ____________ |  **
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,33, opposites |  ____ |  anton |  opposite |  ________ |  _______ |  _____ |  ______ |  __________ | opposite
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,34, opposite |  opposites |  anton |  ____ | opposite |  Opposite |  противополо |  ________ |  _______ |  _____
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,35, ____ |  ________ |  _______ |  _____ |  opposite |  opposites |  ______ |  __________ |  anton |  pequeño
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,36," ____ |  ________ |  _______ |  _____ |  ______ |  __________ | ____ |  ____________ |  pequeño | ..."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,37," ____ |  ________ |  _____ |  _______ |  ______ |  __________ | ____ | ..."" |  pequeño |  ___"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,38, pequeño |  ____ |  _____ |  ________ |  _______ |  ______ | small |  __________ |  pequeña |  small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,39, pequeño |  pequeña |  pequeños |  ____ |  pequeno |  pequeñas |  _____ |  peque |  ________ |  débil
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,40, pequeño |  pequeña |  pequeños |  pequeñas |  pequeno | small |  small |  ____ |  tamaño |  peque
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,41, pequeño |  pequeña |  pequeños |  pequeñas |  pequeno | small |  petite |  peque |  tamaño |  small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,42, pequeño |  pequeña |  pequeños |  pequeñas | small |  pequeno |  small |  малень |  petite | Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,43, pequeño |  pequeña | small |  pequeños |  small |  pequeno |  pequeñas | Small |  peque |  малень
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,44, pequeño |  pequeña |  pequeños |  pequeñas |  pequeno | small |  small |  peque |  малень | Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,45, pequeño |  pequeños |  pequeña |  pequeñas |  pequeno |  small | small |  peque |  малень |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,46, pequeño |  pequeños |  pequeña |  small |  pequeñas |  pequeno | small | Small |  малень |  маленький
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,47, pequeño |  pequeña |  pequeños |  small |  pequeñas |  pequeno | small | Small |  малень |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,48, pequeño |  pequeña |  pequeños |  pequeñas |  small |  pequeno | small | Small |  малень |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,49, pequeño | Small |  small |  pequeños |  pequeña |  pequeñas |  Small | small |  pequeno |  SMALL
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,50, pequeño |  pequeños |  pequeña | Small |  pequeñas |  small |  pequeno | small |  Small |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,51, pequeño |  pequeños |  pequeña | Small |  small |  pequeno |  pequeñas | small |  Small |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,52, pequeño |  pequeños |  pequeña |  pequeno |  small |  pequeñas | Small | small |  Small |  peque
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,53, pequeño |  pequeños |  pequeña |  pequeno |  small |  pequeñas | small | Small |  peque |  Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,54, pequeño |  pequeña |  pequeños |  pequeno |  small |  peque |  pequeñas | Small | small |  Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,55, pequeño |  pequeno |  pequeña |  pequeños |  peque |  chico |  pequeñas |  small | Pe | small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,56, pequeño |  pequeña |  pequeno |  pequeños |  small |  pequeñas | small |  peque | Small |  Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,57, pequeño |  pequeña |  pequeno |  pequeños |  small |  peque | small |  pequeñas | Pe |  Pe
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,58, pequeño |  pequeno |  pequeña |  pequeños |  peque | small |  pequeñas |  small | pe | Pe
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,59, pequeño | pe | Pe |  Pe |  pe | ch |  chico |  pequeno |  peque |  pequeña
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,60,"pe | ch |  pequeño | Pe |  Pe | 

 | small | 小 |   |  pe"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,0," ..."" |  ."" | ...."" |  ?"" |  !"" | !!!"" | )"" | ।"" | ..."" |  }"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,1," ..."" |  ."" | ...."" | !!!"" |  !"" | ।"" |  ?"" | )"" | !"" | ..."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,2," ..."" |  ."" | ...."" | !!!"" | ।"" |  !"" | ..."" |  ?"" | !"" | ]"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,3," ..."" |  ."" | ।"" | ...."" | ..."" | !!!"" |  ?"" | ]"" | ;"" |  !"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,4," ..."" |  ."" |  ,"" | ।"" | ...."" |  ?"" |  !"" | ;"" |  }}"" | ..."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,5," ..."" |  ."" |  ,"" |  !"" | ..."" |  ],"" | ...."" | ।"" | ""— | ;"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,6," ..."" |  ."" |  ,"" |  !"" | ।"" | ..."" | ...."" | ;"" |  ],"" | ."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,7," ..."" |  ."" |  ,"" |  !"" | ..."" | ."" |  ?"" | ...."" | ;"" |  "";"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,8," ..."" |  ."" | ..."" |  ,"" | ."" |  !"" | ...."" |  ?"" | ,"" | ;"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,9," ..."" |  ."" | ..."" |  ,"" | ."" |  !"" | ,"" |  ?"" | ...."" |  "";"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,10," ..."" |  ."" |  ,"" | ..."" |  !"" | ."" | ,"" |  ?"" | 。"" | !"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,11," ..."" |  ."" | ..."" |  ,"" | ."" |  !"" |  ?"" | ,"" | !"" | ...."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,12," ..."" |  ,"" |  ."" |  !"" | ..."" | ."" | ,"" |  "", |  ?"" |  "")"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,13," ..."" |  ."" |  ,"" | ..."" | ."" |  !"" | ,"" |  "", |  ?"" |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,14," ..."" |  ."" |  ,"" | ..."" | ."" |  !"" | ,"" |  "", |  "". |  "")"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,15," ..."" |  ."" |  ,"" | ..."" |  !"" |  "", | ."" |  "". | ,"" |  "")"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,16," ..."" |  ."" |  ,"" | ..."" |  !"" | ."" |  "", |  ?"" |  "". | ,"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,17," ..."" |  ."" | ..."" |  ,"" |  !"" | ."" |  ?"" |  "". |  "", |  "";"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,18," ..."" | ..."" |  ."" |  ,"" |  !"" | ."" |  ?"" | ,"" |  "". |  "","
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,19," ..."" | ..."" |  ."" |  ?"" |  ,"" |  !"" | ...."" | ."" |  "", |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,20," ..."" | ..."" |  ."" |  !"" |  ?"" |  ,"" | ."" |  "", | ...."" |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,21," ..."" | ..."" |  ."" |  !"" |  ?"" | ."" |  "", |  "". |  ,"" | ,"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,22," ..."" |  !"" | ..."" |  ?"" |  "". |  ."" |  "", | "". | ."" |  ..."");"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,23," ..."" |  ."" | ..."" |  ?"" |  !"" |  "". | ."" |  "", |  ,"" | ,"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,24," ..."" | ..."" |  ."" |  !"" |  ?"" |  "". | ."" | ""... | 。"" | ।"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,25," ..."" | ..."" |  ...""); |  ."" | ..."", |  "". | ""。 | ...."" | ."" | 。"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,26," ..."" | ..."" | ..."", |  …” |  ...""); |  \... | .\"" | ...” | ,\"" | ...."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,27," ..."" | ""。 |  ...""); | ।"" | ?"". | 。"", | ""， |  ।” | ”। | .\"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,28," __________ |  ..."" |  ______ |  ***"", |  _____ |  ।” | ""。 |  _______ |  ________ |  ..."");"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,29," __________ |  _____ |  ______ | または |  ________ |  _______ | ”。 |  ***"", |  ..."" |  ಅಥವಾ"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,30," __________ |  _______ |  ______ |  _____ |  ________ |  ***"", |  ____________ |  _____________ |  ____ | ______"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,31," __________ |  _______ |  _____ |  ***"", |  ______ |  ________ |  ____ |  _____________ |  ____________ | ______"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,32," __________ |  _______ |  ***"", |  ______ |  _____ |  ________ |  _____________ |  ____ |  ____________ | ______"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,33," ***"", | 🫠 |  __________ |  _______ |  ........ |  противополо |  ...""); | ***"", | 🫤 |  наоборот"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,34," противополо |  ***"", |  наоборот | 🫠 | 🫤 |  বিপরীত |  ……………………………….. |  इनवर्स |  ........ |  disminución"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,35," ***"", |  противополо | sadquotes |  ……………………………….. |  disminución |  наоборот |  ........ |  médioc |  rétréci |  _______"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,36," ***"", |  __________ |  _______ |  ……………………………….. |  débil | ______ |  rétréci |  médioc |  sonidos | sadquotes"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,37," ***"", |  rétréci |  __________ |  _______ |  débil | ______ |  ……………………………….. |  _____ |  ______ |  médioc"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,38," pequeño |  pequeñas |  малень |  ***"", |  சிறிய | 小さい |  rétréci | Smaller |  маленький |  작은"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,39, pequeño |  pequeñas |  pequeños |  малень |  pequeña |  débil | 小さい |  சிறிய |  маленький |  pequeno
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,40, pequeño |  pequeñas |  pequeña |  pequeños | 小さい |  малень |  சிறிய | Smaller |  작은 |  маленький
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,41, pequeño |  pequeñas |  pequeños |  pequeña |  малень | 小さい |  சிறிய |  pequeno |  작은 |  маленький
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,42, pequeño |  pequeñas |  pequeños |  pequeña |  малень | Smaller |  சிறிய |  작은 |  pequeno | 小さい
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,43, pequeño |  pequeñas |  pequeños |  pequeña |  малень |  pequeno |  சிறிய |  작은 |  صغير | 小さい
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,44, pequeño |  pequeñas |  pequeños |  pequeña |  pequeno |  малень |  சிறிய |  작은 |  صغير |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,45, pequeño |  pequeños |  pequeñas |  pequeña |  pequeno |  малень |  작은 |  pequena |  маленький |  சிறிய
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,46, pequeño |  pequeños |  pequeña |  pequeñas |  малень |  pequeno |  маленький |  작은 |  pequena | Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,47, pequeño |  pequeña |  pequeños |  pequeñas |  pequeno |  малень | Small | small |  pequena |  маленький
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,48, pequeño |  pequeña |  pequeños |  pequeñas |  pequeno | Small |  малень | small |  small |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,49, pequeño | Small |  pequeños |  pequeña |  pequeñas |  pequeno |  small |  Small | small |  SMALL
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,50, pequeño |  pequeños |  pequeña | Small |  pequeñas |  pequeno |  Small | small |  small |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,51, pequeño |  pequeños |  pequeno |  pequeña | Small |  pequeñas |  small | small |  Small |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,52, pequeño |  pequeños |  pequeña |  pequeno |  pequeñas | Small |  small |  Small | small |  peque
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,53, pequeño |  pequeños |  pequeno |  pequeña |  pequeñas |  small | Small |  peque |  Small | small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,54, pequeño |  pequeña |  pequeno |  pequeños |  pequeñas |  small |  peque | Small |  Small | small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,55, pequeño |  pequeno |  pequeña |  pequeños |  peque |  pequeñas |  chico |  small |  Chico |  pequena
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,56, pequeño |  pequeno |  pequeña |  pequeños |  pequeñas |  small |  peque | Small |  Small | small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,57, pequeño |  pequeno |  pequeña |  pequeños |  peque |  pequeñas |  small |  chico |  Pe | Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,58, pequeño |  pequeno |  pequeña |  pequeños |  peque |  pequeñas |  small | small |  chico | pe
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,59, pequeño | pe | Pe |  Pe |  pe |  chico |  pequeno |  peque |  pequeña | ch
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-J,60,"pe | ch |  pequeño | Pe |  Pe | 

 | small | 小 |   |  pe"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,0," "" | 
 |  ""; | 9 |  "". | 						 |  ""' | ти | ong | 8"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,1,"ти |  "" | 
 |  ""; | 						 | 9 |  ""' |  "". | 8 |  "")"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,2,"ти | 
 | 						 | 9 |  ""; | 8 |  "" |  ""' |  |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,3,"ти | 						 | 
 |  ""; |  ""' | RxDocument | йдет |  "" |  "". |  "")"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,4,"
 |  I | ти | 						 | on |  "" |  ""; |  Tope |  "") | 

"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,5,"
 |  I | on | anlı | ות |  "" | 스로 |  Tope |  "") |  "";"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,6,"
 |  I | on | anlı | ות | ა | 嶆 | 스로 |  Queste | ალი"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,7,"
 | on | em |  I | anlı | ות | ა | il | 嶆 |  Queste"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,8,"
 | on | em | anlı | ა | 嶆 | an | el |  Tshirt |  Система"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,9,"
 | on | em | an | anlı | 嶆 | il | aný | ა |  Tecnología"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,10,"
 | on | em | an | il | anlı |  Você | 嶆 |  Максим |  Tshirt"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,11,"
 | on | em | an | anlı |  Você |  Tshirt | il | ა | aný"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,12,"on | 
 | em | an | anlı | ა | el | il | ות | at"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,13,"on | 
 | em | an | anlı | il | ა | at | aný | el"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,14,"on | em | an | 
 | anlı | il |  Você | ა | aný |  Tecnología"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,15,on | an | em | il |  Según | anlı | ა | aný |  Tshirt |  Você
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,16,on | em | an | il | aný | Destroy |  Você |  Política |  Según | ა
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,17,em | il | لای | on | an | Destroy | aný |  Política |  Tshirt |  Química
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,18,em | Destroy | لای |  Química | on |  Neces |  Tshirt |  Política | ução |  Según
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,19, Neces |  Cómo | لای |  Según |  Química | aný | acją |  Когда | Destroy | on
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,20,لای |  Neces |  Tshirt | ução |  Cómo | aniti |  Когда | Mutable | fähig |  Álvarez
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,21, Tshirt |  Neces | ução | aniti | 兕 |  होता |  Wochschr |  Люди | ítez | acją
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,22,ução |  Tshirt | ués | fähig |  değil | ástica |  Bá | لای |  Wochschr |  Neces
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,23,ução | 吗 |  değil |  Más | ástica | fähig | ítez |  Tshirt |  ανθρώ |  விரும்ப
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,24,CCCc | 吗 |  ανθρώ | fähig |  Más | észet |  దాని |  άνθρω | Selectors |  más
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,25, ≠ |  که |  దాని | 的时候 |  не | 吗 |  ανθρώ | CCCc |  可以 |  לא
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,26, { |  a |  Bá |  ≠ |  coś | Checker |  ____ |  Dí |  κάτι |  Sí
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,27, a |  de |  opposites |  în |  Sí |  ____ |  más |  aversion |  Más |  hacer
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,28, de |  opposite |  opposites |  a |  ≠ |  Yin |  no |  De |  anton |  противополо
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,29, a |  de |  opposites |  opposite |  very |  ____ |  ¿ |  one |  anton |  más
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,30, opposite |  ____ |  opposites |  ¿ |  adjectives |  a |  de |  one |  anton |  ceea
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,31, opposite |  ____ |  opposites |  ¿ |  de | opposite | ( |  a |  Opposite | 反対
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,32, ____ |  opposite |  de |  word |  anton |  _______ | ( |  ____________ |   |  a
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,33, opposite |  Opposite |  anton | opposite |  opposites |  বিপরীত | 反対 |  contrasting |  ____ |  de
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,34, opposite |  Opposite |  opposites | opposite | 反対 |  anton |  বিপরীত |  Small |  small |  contraire
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,35, opposite |  small |  Small | opposite |  opposites |  Opposite |  inferior |  Yin |  size |  ¿
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,36, small |  Small |  ____ | Small |  smaller |  size |  opposite |  de |  Yin |  a
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,37, small |  Small |  size |  smaller | Small |  pequeño | small |  opposite |  Size | size
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,38, small |  pequeño |  Small | Small | small |  smaller | smaller |  маленький | 小さい |  Smaller
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,39, pequeño |  small |  pequeña |  Small | small | Small |  pequeños |  маленький |  petite |  piccolo
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,40, pequeño |  small | small |  smaller |  pequeña | Small |  Small | smaller | 小さい |  petite
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,41, pequeño |  small | small | Small |  pequeña |  petite | 小さい |  Small | smaller |  smaller
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,42, pequeño |  small | small |  smaller | Small | smaller |  pequeña | 小さい |  Small |  nhỏ
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,43, pequeño |  small | small | Small |  smaller |  pequeña | smaller |  Small | 小さい |  pequeños
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,44, pequeño |  small |  pequeña | small |  pequeños |  smaller | 小さい |  pequeñas | Small |  Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,45, pequeño |  small |  pequeña | small |  pequeños |  pequeno |  kecil |  pequeñas | Small |  Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,46, pequeño |  small | small |  pequeña |  pequeños | Small |  малень |  Small |  pequeno |  pequeñas
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,47, small |  pequeño | small | Small |  pequeña |  pequeños |  Small |  малень |  pequeno |  pequeñas
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,48, pequeño |  small |  pequeña |  pequeños | small |  pequeñas | Small |  pequeno |  Small |  малень
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,49, pequeño |  small | Small | small |  Small |  pequeña |  pequeños |  pequeñas |  pequeno | 小
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,50, pequeño |  small | small | Small |  pequeña |  pequeños |  Small |  pequeñas |  pequeno | 小
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,51, pequeño |  small | small | Small |  pequeña |  pequeños |  Small |  pequeñas |  pequeno | 小
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,52, pequeño | small |  small |  pequeña |  pequeños | Small |  pequeñas |  Small |  pequeno | 小
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,53, pequeño | small |  pequeños |  pequeña |  small |  pequeñas | Small |  pequeno |  Small |  peque
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,54, pequeño |  pequeña |  pequeños |  small | small |  pequeñas |  pequeno | Small |  Small |  peque
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,55, pequeño |  pequeña |  pequeños |  pequeno |  pequeñas |  peque |  small | small |  chico | Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,56, pequeño |  pequeña | small |  pequeños |  small |  pequeno |  pequeñas |  peque | Small |  Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,57, pequeño |  pequeña | Pe | pe |  Pe |  pequeños |  pequeno | small |  small |  peque
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,58, pequeño | Pe | pe |  pequeña | small |  pequeno |  Pe |  pequeños |  small | Small
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,59,pe |  pequeño | Pe |  Pe | ch |  pe | small |   |  chico |  pequeno
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,logit,60,"pe | ch |  pequeño | Pe |  Pe | 

 | small | 小 |   |  pe"
gemma-3-27b-it,typo,typo-language,language,released-R,0,"</blockquote> | e |  thence |  aforementioned |  furthermore | , | -- |  aswell |  nonetheless | ("""
gemma-3-27b-it,typo,typo-language,language,released-R,1," furthermore | </blockquote> |  aforementioned |  thence | e |  aswell | , |  nonetheless |  thereby |  whilst"
gemma-3-27b-it,typo,typo-language,language,released-R,2," thence |  furthermore |  aforementioned | </blockquote> |  nonetheless |  thereby |  insofar |  principally |  notwithstanding | ,"
gemma-3-27b-it,typo,typo-language,language,released-R,3, furthermore |  thence |  aforementioned |  thereby | </blockquote> |  principally |  nonetheless |  notwithstanding |  preexisting | --
gemma-3-27b-it,typo,typo-language,language,released-R,4,", |  furthermore |  aforementioned |  preexisting |  thereby | -- |  nonetheless |  as |  principally |  subsequently"
